objectid,parentid,filename,youtubeid,vimeoid,title,creator,date,date created,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
kente,,kente.jpg,,,Kente Cloth,unknown,unknown,,,Textiles and Woven Materials; Clothing,Ghana,6.68848,-1.62443,unknown,unknown,Image;StillImage,image/jpeg,eng,,
nurnberg,,nurnberg.jpg,,,Ruins of Nurnberg,Malcolm Fleming,1945-09-09,,,Photography; Visual Art; World War II,Germany; Nuremberg,49.43374378,11.11173536,Malcolm Fleming Photograph Collection,unknown,Image;StillImage,image/jpeg,eng,,
sepsev,,sepsev.jpg,,,Bust of Septimius Severus,unknown,0200,200-210,,Carving and Sculpture; Roman Empire; Politics and Military,Rome; Italy,41.9028,12.4964,Eskenazi Art Museum,75.33.1,Image;StillImage,image/jpeg,eng,,
figwoman,,figwoman.jpeg,,,Figure of a Woman,unknown,unknown,,,Ceramics and Pottery; Carving and Sculpture; Ancient Greece,Aegean Civilization; Greece,37.9838,23.7275,Eskenazi Art Museum,unknown,Image;StillImage,image/jpeg,eng,,
caphope,,caphope.jpg,,,Portrait of Captain Hope,Sir Henry Raeburn,1815,ca. 1815,,Visual Art; Painting; Oil Painting; War of 1812; Military and Politics,Scotland; United Kingdom,55.9498323,-3.199848887,Eskenazi Art Museum,84.9,Image;StillImage,image/jpeg,eng,,
peacock,,peacock.jpg,,,Peacock Oil Lamp,unknown,,5th-7th century,,Metalwork; Animals; Decoration,Byzantine Empire; Turkiye,41.01314238,28.98739072,Eskenazi Art Museum,64.48.1,Image;StillImage,image/jpeg,eng,,
pharmacy,,pharmacy.jpg,,,Pharmacy Pot,Attr. Orazio Fontana,1570,ca. 1570,,Ceramics and Pottery; Painting; Medicine; Visual Art,Florence; Italy,43.72501427,12.63642814,Eskenazi Art Museum,75.49.2,Image;StillImage,image/jpeg,eng,,
ostrich,,ostrich.jpg,,,Ostrich Egg Cup,unknown,unknown,17th century,,Natural Materials; Animals; Cooking and Meals,unknown; England,51.51963538,-0.1277483294,Eskenazi Art Museum,72.51.3,Image;StillImage,image/jpeg,eng,,
diptych,,diptych.png,,,Fragment of a Diptych,unknown,1350,1340-1360,,Natural Materials; Religion; Christianity; Visual Art; Carving and Sculpture,France,49.1873076,-0.3531922503,Eskenazi Art Museum,72.100.3,Image;StillImage,image/png,eng,,
eyecup,,eyecup.png,,,Hermes Eye Cup,Attr. Oltos,-0520,ca. 520 BCE,,Ceramics and Pottery; Cooking and Meals; Greco-Roman Mythology,Athens; Greece,37.98234354,23.74349672,Eskenazi Art Museum,80.73,Image;StillImage,image/png,eng,,
breadstamp,,breadstamp.png,,,Bread Stamp,unknown,unknown,,,Woodwork; Cooking and Meals,Greece; Byzantine Empire,40.65479366,22.93769895,IU Museum of Archaeology and Anthropology,1990-08-0225,Image;StillImage,image/png,eng,,
hanbok,hanbok,durumagi.jpg,,,Hanbok,unknown,unknown,,,Textiles and Woven Materials; Clothing,Korea,37.57960847,126.9770303,IU Museum of Archaeology and Anthropology,,Image;StillImage,Compound_object,eng,,
chima,hanbok,chima.jpg,,,,unknown,unknown,,,,,,,IU Museum of Archaeology and Anthropology,,Image;StillImage,image/jpeg,eng,,
jeogori,hanbok,jeogori.jpg,,,,unknown,unknown,,,,,,,IU Museum of Archaeology and Anthropology,,Image;StillImage,image/jpeg,eng,,
baji,hanbok,jeogori.jpg,,,,unknown,unknown,,,,,,,IU Museum of Archaeology and Anthropology,,Image;StillImage,image/jpeg,eng,,
